hour,temperature
2025-04-30T06:00,21.7
2025-04-30T07:00,21.4
2025-04-30T08:00,20.7
2025-04-30T09:00,20.6
2025-04-30T10:00,21
2025-04-30T11:00,21.4
2025-04-30T12:00,21.4
2025-04-30T13:00,21.7
2025-04-30T14:00,22
2025-04-28T09:00,21.8
2025-04-28T10:00,22.2
2025-04-28T11:00,22.2
2025-04-28T12:00,22.2
2025-04-28T13:00,21.9
2025-04-28T14:00,22.5
2025-04-28T15:00,23
2025-04-28T16:00,24.5
2025-04-28T17:00,24
2025-04-30T15:00,23.7
2025-04-30T16:00,22.6
2025-04-30T17:00,22.2
2025-04-30T18:00,16
2025-04-30T19:00,16.9
2025-04-30T20:00,15.2
2025-04-30T21:00,16
2025-04-30T22:00,16.2
2025-04-30T23:00,16.8
2025-04-29T21:00,26.9
2025-04-29T22:00,27.2
2025-04-29T23:00,26.7
2025-04-30T00:00,25.5
2025-04-30T01:00,24.1
2025-04-30T02:00,23.4
2025-04-30T03:00,23
2025-04-30T04:00,22.4
2025-04-30T05:00,21.4
2025-04-28T00:00,26.2
2025-04-28T01:00,25
2025-04-28T02:00,23.8
2025-04-28T03:00,23.5
2025-04-28T04:00,23.1
2025-04-28T05:00,22.5
2025-04-28T06:00,22
2025-04-28T07:00,22
2025-04-28T08:00,21.9
2025-04-28T18:00,24.7
2025-04-28T19:00,26.2
2025-04-28T20:00,26.9
2025-04-28T21:00,26.6
2025-04-28T22:00,25.5
2025-04-28T23:00,25.5
2025-04-29T00:00,25
2025-04-29T01:00,24.2
2025-04-29T02:00,23.9
2025-04-29T12:00,22
2025-04-29T13:00,21.9
2025-04-29T14:00,22.2
2025-04-29T15:00,23.6
2025-04-29T16:00,24.6
2025-04-29T17:00,24.5
2025-04-29T18:00,25.7
2025-04-29T19:00,26.3
2025-04-29T20:00,27.1
2025-04-29T03:00,23.8
2025-04-29T04:00,23.5
2025-04-29T05:00,23.3
2025-04-29T06:00,23.2
2025-04-29T07:00,22.6
2025-04-29T08:00,22.3
2025-04-29T09:00,22
2025-04-29T10:00,21.8
2025-04-29T11:00,22.2
